Training Log
Start Time: 2025-10-15 15:20:57
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
Current_Step,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
0,0.000000,2025-10-15 15:20:57,0.0,0.0,0.0,0.0
327,36.517754,2025-10-15 15:21:00,-0.8347583413124084,-0.2629982829093933,-0.09061229228973389,-0.05146339535713196
359,49.954571,2025-10-15 15:21:00,-0.9660221338272095,-0.26558947563171387,-0.12360557913780212,-0.0654524713754654
385,79.715858,2025-10-15 15:21:00,-1.0677897930145264,-0.26106011867523193,-0.15376344323158264,-0.0770641341805458
386,79.699432,2025-10-15 15:21:00,-0.9980204105377197,-0.24363848567008972,-0.14977914094924927,-0.07513196766376495
387,79.682983,2025-10-15 15:21:00,-0.935019850730896,-0.2321915626525879,-0.139326810836792,-0.06955258548259735
389,79.650009,2025-10-15 15:21:00,-0.867756724357605,-0.2154216766357422,-0.13808679580688477,-0.06752976775169373
394,89.543968,2025-10-15 15:21:00,-0.8176321983337402,-0.19459062814712524,-0.11812286078929901,-0.057640329003334045
401,99.365074,2025-10-15 15:21:00,-0.7603881359100342,-0.1753232479095459,-0.10498878359794617,-0.049598582088947296
406,99.216103,2025-10-15 15:21:00,-0.6726053953170776,-0.1578197181224823,-0.10232901573181152,-0.047109268605709076
424,118.397301,2025-10-15 15:21:01,-0.6832216382026672,-0.1497030407190323,-0.10868163406848907,-0.048078641295433044
437,117.512505,2025-10-15 15:21:01,-0.6149107217788696,-0.13560751080513,-0.10737170279026031,-0.04905777424573898
450,118.525940,2025-10-15 15:21:01,-0.5621761083602905,-0.12529554963111877,-0.09708406776189804,-0.04441642761230469
458,118.012718,2025-10-15 15:21:01,-0.4676072895526886,-0.10530117899179459,-0.07184445858001709,-0.03368927538394928
474,118.992752,2025-10-15 15:21:01,-0.36604318022727966,-0.08943284302949905,-0.06991822272539139,-0.03155294060707092
479,118.891937,2025-10-15 15:21:01,-0.24959614872932434,-0.06718410551548004,-0.05007156729698181,-0.024288486689329147
480,118.854218,2025-10-15 15:21:01,-0.13319431245326996,-0.04216350242495537,-0.007211643736809492,-0.007691674865782261
346,112.843170,2025-10-15 15:21:03,-0.4224669635295868,-0.15596753358840942,-0.050463274121284485,-0.03142430633306503
404,87.794098,2025-10-15 15:21:03,-0.6394245028495789,-0.18207666277885437,-0.08677075803279877,-0.0444776713848114
421,99.398163,2025-10-15 15:21:03,-0.6308874487876892,-0.1643233299255371,-0.09667977690696716,-0.047104619443416595
460,127.385666,2025-10-15 15:21:04,-0.7147958278656006,-0.16259795427322388,-0.11699804663658142,-0.05301910638809204
463,127.134102,2025-10-15 15:21:04,-0.6671607494354248,-0.15287916362285614,-0.08359646797180176,-0.03849070519208908
484,124.773758,2025-10-15 15:21:04,-0.6855987310409546,-0.15178243815898895,-0.09726320207118988,-0.04284675419330597
428,124.349106,2025-10-15 15:21:04,-0.5932838320732117,-0.13823650777339935,-0.08348007500171661,-0.038685381412506104
437,122.917168,2025-10-15 15:21:04,-0.5754247903823853,-0.13479043543338776,-0.08555528521537781,-0.03864084929227829
461,127.071472,2025-10-15 15:21:05,-0.5734380483627319,-0.13206350803375244,-0.09757745265960693,-0.03999858349561691
470,126.208260,2025-10-15 15:21:05,-0.5464440584182739,-0.12581035494804382,-0.08324389159679413,-0.035528361797332764
472,125.992828,2025-10-15 15:21:05,-0.47505396604537964,-0.11773950606584549,-0.06939611583948135,-0.03074781969189644
480,125.042496,2025-10-15 15:21:05,-0.4463798999786377,-0.11440323293209076,-0.06302357465028763,-0.02854263409972191
487,124.097290,2025-10-15 15:21:05,-0.37140804529190063,-0.09355191886425018,-0.05068621039390564,-0.02278834953904152
520,128.651489,2025-10-15 15:21:05,-0.36025068163871765,-0.10053390264511108,-0.06343426555395126,-0.02662014588713646
527,128.290161,2025-10-15 15:21:05,-0.2928679883480072,-0.0893288105726242,-0.06233958899974823,-0.024436630308628082
513,128.196487,2025-10-15 15:21:05,-0.22998733818531036,-0.08733677864074707,-0.045428723096847534,-0.018110431730747223
421,116.690170,2025-10-15 15:21:07,-0.5900323390960693,-0.21118998527526855,-0.05158575624227524,-0.031550705432891846
444,109.247520,2025-10-15 15:21:07,-0.6333213448524475,-0.20637258887290955,-0.0652545690536499,-0.03784457966685295
429,92.016174,2025-10-15 15:21:07,-0.7183945178985596,-0.21418356895446777,-0.08552518486976624,-0.045961812138557434
423,99.273224,2025-10-15 15:21:07,-0.7170950770378113,-0.21647529304027557,-0.09172381460666656,-0.04776930809020996
427,109.139183,2025-10-15 15:21:07,-0.6291788816452026,-0.18927884101867676,-0.06911342591047287,-0.03754974156618118
371,118.866959,2025-10-15 15:21:07,-0.546955406665802,-0.17036166787147522,-0.06601881980895996,-0.03491782769560814
403,126.702934,2025-10-15 15:21:08,-0.5717443823814392,-0.16477689146995544,-0.08626413345336914,-0.03987790644168854
419,123.225594,2025-10-15 15:21:08,-0.6364322900772095,-0.17099055647850037,-0.09782052040100098,-0.04352850466966629
430,121.389725,2025-10-15 15:21:08,-0.6206051707267761,-0.1699354350566864,-0.09178415685892105,-0.039205215871334076
411,118.578552,2025-10-15 15:21:08,-0.5750827789306641,-0.1567581593990326,-0.056377921253442764,-0.023840559646487236
425,118.258507,2025-10-15 15:21:08,-0.5164387226104736,-0.14321176707744598,-0.05138525366783142,-0.020877012982964516
442,116.945541,2025-10-15 15:21:08,-0.4749331474304199,-0.12889161705970764,-0.053249139338731766,-0.020799923688173294
445,118.793709,2025-10-15 15:21:08,-0.3942260146141052,-0.10880349576473236,-0.04297284409403801,-0.01735401153564453
459,117.956642,2025-10-15 15:21:09,-0.3427712321281433,-0.09652097523212433,-0.03666440024971962,-0.014634231105446815
574,127.180435,2025-10-15 15:21:09,-0.5145257711410522,-0.17621853947639465,-0.07745593041181564,-0.03434568643569946
490,126.308266,2025-10-15 15:21:09,-0.4448671340942383,-0.1542375683784485,-0.06489346921443939,-0.03169986605644226
373,117.495331,2025-10-15 15:21:10,-0.46704480051994324,-0.17304664850234985,-0.04326988756656647,-0.02598417177796364
440,116.905479,2025-10-15 15:21:10,-0.6641348600387573,-0.1917293816804886,-0.07985097169876099,-0.03890318423509598
452,115.659317,2025-10-15 15:21:11,-0.6316303014755249,-0.17829963564872742,-0.07911071181297302,-0.03768782317638397
497,116.191994,2025-10-15 15:21:11,-0.7023576498031616,-0.17928241193294525,-0.09895461797714233,-0.04477429389953613
507,114.954559,2025-10-15 15:21:11,-0.6708717346191406,-0.16699554026126862,-0.0786687508225441,-0.035114586353302
515,113.757874,2025-10-15 15:21:11,-0.656977117061615,-0.16386769711971283,-0.08033470064401627,-0.03526348993182182
