Training Log
Start Time: 2025-10-29 00:49:16
Num Actors: 16
Horizon Length: 128
Minibatch Size: 256
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,env1_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp,End_Position_Reward,Action_Smoothness
0,0.000000,2025-10-29 00:49:16,0.0,0.0,0.0,0.0,0.000000,0.000000
16,-3231.437012,2025-10-29 00:49:23,-29.035175323486328,-9.997859001159668,0.0,0.0,-4.228312,-0.002605
16,-3047.492676,2025-10-29 00:49:23,-28.49042510986328,-9.524066925048828,0.0,0.0,-4.232802,-0.002622
16,-2848.786621,2025-10-29 00:49:23,-26.572628021240234,-8.882011413574219,0.0,0.0,-4.233962,-0.002817
16,-2662.230957,2025-10-29 00:49:23,-24.676456451416016,-8.313004493713379,0.0,0.0,-4.238753,-0.002732
16,-2283.243164,2025-10-29 00:49:24,-20.816261291503906,-7.10441780090332,0.0,0.0,-4.242640,-0.002499
16,-2095.524902,2025-10-29 00:49:24,-19.84006690979004,-6.57628059387207,0.0,0.0,-4.242639,-0.002375
16,-1896.784790,2025-10-29 00:49:24,-17.840179443359375,-5.947029113769531,0.0,0.0,-4.242638,-0.003432
16,-1696.557129,2025-10-29 00:49:24,-15.822542190551758,-5.294788360595703,0.0,0.0,-4.242637,-0.002337
16,-1490.227051,2025-10-29 00:49:24,-13.763347625732422,-4.576123237609863,0.0,0.0,-4.242636,-0.002591
16,-1104.848511,2025-10-29 00:49:24,-9.929268836975098,-3.36832332611084,0.0,0.0,-4.242626,-0.002167
16,-899.031982,2025-10-29 00:49:24,-8.283126831054688,-2.709662914276123,0.0,0.0,-4.242624,-0.002440
16,-706.440430,2025-10-29 00:49:24,-6.274133205413818,-2.074052095413208,0.0,0.0,-4.242615,-0.001421
16,-512.383545,2025-10-29 00:49:24,-4.105165958404541,-1.353318691253662,0.0,0.0,-4.242600,-0.002025
16,-323.982025,2025-10-29 00:49:24,-1.9817410707473755,-0.6583559513092041,0.0,0.0,-4.242577,-0.002832
15,-4018.593262,2025-10-29 00:49:31,-48.51641845703125,-7.216017246246338,0.0,0.0,-4.316440,-0.003426
15,-3888.422852,2025-10-29 00:49:32,-47.42097854614258,-6.402356147766113,0.0,0.0,-4.310973,-0.002600
15,-3693.606445,2025-10-29 00:49:32,-45.332664489746094,-5.8523406982421875,0.0,0.0,-4.308909,-0.002263
15,-3436.087402,2025-10-29 00:49:32,-42.245574951171875,-5.539253234863281,0.0,0.0,-4.308753,-0.003393
15,-3184.627930,2025-10-29 00:49:32,-39.29856872558594,-5.223658561706543,0.0,0.0,-4.308598,-0.002657
15,-2958.970215,2025-10-29 00:49:32,-36.59737014770508,-4.63289737701416,0.0,0.0,-4.307260,-0.002620
15,-2702.931152,2025-10-29 00:49:32,-33.65327453613281,-4.280298233032227,0.0,0.0,-4.307153,-0.002806
15,-2442.163086,2025-10-29 00:49:32,-30.257156372070312,-3.8922383785247803,0.0,0.0,-4.242641,-0.002236
15,-2169.820557,2025-10-29 00:49:32,-26.7603759765625,-3.4510297775268555,0.0,0.0,-4.242641,-0.002330
15,-1946.552246,2025-10-29 00:49:32,-23.573307037353516,-2.880516529083252,0.0,0.0,-4.242643,-0.002767
15,-1696.418945,2025-10-29 00:49:32,-20.163734436035156,-2.4654412269592285,0.0,0.0,-4.242650,-0.002283
15,-1444.266357,2025-10-29 00:49:32,-16.84424591064453,-2.0809998512268066,0.0,0.0,-4.242659,-0.002723
15,-1171.511475,2025-10-29 00:49:32,-12.862153053283691,-1.525501012802124,0.0,0.0,-4.242668,-0.002332
15,-919.995483,2025-10-29 00:49:32,-9.760767936706543,-1.0677082538604736,0.0,0.0,-4.242681,-0.002045
15,-724.216797,2025-10-29 00:49:33,-6.726325511932373,-0.7071013450622559,0.0,0.0,-4.242826,-0.002267
15,-495.305634,2025-10-29 00:49:33,-3.0376434326171875,-0.3521789610385895,0.0,0.0,-4.243051,-0.001806
15,-3208.558105,2025-10-29 00:49:38,-40.58057403564453,-18.99704933166504,0.0,0.0,-6.034728,-0.002794
15,-3128.832520,2025-10-29 00:49:38,-41.24892807006836,-18.639877319335938,0.0,0.0,-6.237562,-0.002516
15,-2925.550293,2025-10-29 00:49:38,-38.55918502807617,-17.437280654907227,0.0,0.0,-6.263752,-0.001967
15,-2724.768066,2025-10-29 00:49:38,-36.19474792480469,-16.23751449584961,0.0,0.0,-6.290125,-0.002564
15,-2516.562012,2025-10-29 00:49:38,-33.184730529785156,-14.958871841430664,0.0,0.0,-6.307817,-0.002869
15,-2368.698975,2025-10-29 00:49:38,-31.79739761352539,-14.028698921203613,0.0,0.0,-6.424755,-0.002522
