Training Log
Start Time: 2025-10-28 16:30:27
Num Actors: 16
Horizon Length: 128
Minibatch Size: 256
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,env1_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp,End_Position_Reward,Action_Smoothness
0,0.000000,2025-10-28 16:30:27,0.0,0.0,0.0,0.0,0.000000,0.000000
16,-1.577541,2025-10-28 16:30:34,-34.71904754638672,-11.219018936157227,0.0,0.0,-0.007155,-0.002663
15,-22.110802,2025-10-28 16:30:44,-59.58133316040039,-8.141592025756836,0.0,0.0,-0.078516,-0.002769
15,-15.319391,2025-10-28 16:30:52,-38.22850036621094,-14.838695526123047,0.0,0.0,-0.126240,-0.001743
15,-18.632029,2025-10-28 16:30:59,-44.67851638793945,-15.857307434082031,0.0,0.0,-0.154859,-0.002424
15,-10.712683,2025-10-28 16:31:06,-26.538455963134766,-11.353611946105957,0.0,0.0,-0.150877,-0.001818
15,-8.997483,2025-10-28 16:31:13,-23.25826644897461,-10.537944793701172,0.0,0.0,-0.135188,-0.002042
16,-8.415267,2025-10-28 16:31:20,-23.327774047851562,-11.220375061035156,0.0,0.0,-0.125985,-0.002480
16,-7.999705,2025-10-28 16:31:27,-22.668460845947266,-11.006071090698242,0.0,0.0,-0.118140,-0.001862
16,-6.593191,2025-10-28 16:31:33,-19.759639739990234,-10.312639236450195,0.0,0.0,-0.103047,-0.002593
17,-5.480011,2025-10-28 16:31:40,-17.71248435974121,-9.448225021362305,0.0,0.0,-0.097295,-0.002982
17,-5.364083,2025-10-28 16:31:46,-19.244770050048828,-10.388666152954102,0.0,0.0,-0.089107,-0.002432
18,-5.268240,2025-10-28 16:31:53,-22.332775115966797,-12.202406883239746,0.0,0.0,-0.078621,-0.002102
18,-3.136206,2025-10-28 16:31:59,-16.460695266723633,-9.617059707641602,0.0,0.0,-0.068551,-0.001943
19,-2.271030,2025-10-28 16:32:06,-14.928447723388672,-8.617767333984375,0.0,0.0,-0.069966,-0.002646
19,-1.824343,2025-10-28 16:32:12,-13.42857837677002,-7.942875862121582,0.0,0.0,-0.056410,-0.001571
18,-2.521113,2025-10-28 16:32:31,-14.062104225158691,-8.346887588500977,0.0,0.0,-0.055010,-0.002666
18,-2.052686,2025-10-28 16:32:38,-13.326904296875,-7.9303483963012695,0.0,0.0,-0.059033,-0.001397
