Training Log
Start Time: 2025-10-28 15:57:01
Num Actors: 16
Horizon Length: 128
Minibatch Size: 256
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,env1_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp,End_Position_Reward,Action_Smoothness
0,0.000000,2025-10-28 15:57:01,0.0,0.0,0.0,0.0,0.000000,0.000000
16,0.374448,2025-10-28 15:57:10,-43.61457061767578,-8.751699447631836,0.0,0.0,0.002103,-0.001423
15,-40.895691,2025-10-28 15:57:22,-122.17266082763672,-7.82165002822876,0.0,0.0,-0.046760,-0.001103
15,-34.286255,2025-10-28 15:57:33,-96.10095977783203,-19.23833465576172,0.0,0.0,-0.125458,-0.000800
15,-25.292536,2025-10-28 15:57:42,-75.01874542236328,-20.070859909057617,0.0,0.0,-0.129291,-0.001209
15,-18.498016,2025-10-28 15:57:51,-61.31961441040039,-19.50973129272461,0.0,0.0,-0.120013,-0.001177
16,-11.763287,2025-10-28 15:57:59,-45.65660858154297,-15.870447158813477,0.0,0.0,-0.087396,-0.001309
16,-10.992042,2025-10-28 15:58:07,-45.67234802246094,-15.987235069274902,0.0,0.0,-0.074405,-0.001123
16,-10.208074,2025-10-28 15:58:15,-44.18354415893555,-15.61352825164795,0.0,0.0,-0.082181,-0.001141
16,-9.580452,2025-10-28 15:58:23,-41.25441360473633,-14.57475471496582,0.0,0.0,-0.078324,-0.001052
16,-7.442959,2025-10-28 15:58:31,-36.072044372558594,-12.796175003051758,0.0,0.0,-0.073577,-0.001120
16,-5.874390,2025-10-28 15:58:39,-32.612911224365234,-11.208507537841797,0.0,0.0,-0.065439,-0.001239
16,-4.484209,2025-10-28 15:58:47,-29.384502410888672,-10.60297966003418,0.0,0.0,-0.053940,-0.001267
16,-3.306035,2025-10-28 15:58:55,-26.058738708496094,-9.979148864746094,0.0,0.0,-0.035174,-0.001375
16,-3.525472,2025-10-28 15:59:03,-24.625307083129883,-10.304544448852539,0.0,0.0,-0.044248,-0.000954
17,-2.615846,2025-10-28 15:59:10,-21.980484008789062,-9.622506141662598,0.0,0.0,-0.034644,-0.001139
17,-2.858847,2025-10-28 15:59:17,-22.069232940673828,-9.845270156860352,0.0,0.0,-0.039145,-0.000961
17,-3.481019,2025-10-28 15:59:25,-23.509891510009766,-10.297593116760254,0.0,0.0,-0.042710,-0.001199
