Training Log
Start Time: 2025-10-15 15:42:52
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
0,0.000000,2025-10-15 15:42:52,0.0,0.0,0.0,0.0
13,-93.490799,2025-10-15 15:42:55,-0.8348618149757385,-0.2632569372653961,-0.09062523394823074,-0.05152558162808418
13,-0.040390,2025-10-15 15:42:55,-0.96494460105896,-0.2656134366989136,-0.12240132689476013,-0.06511726975440979
13,-0.025784,2025-10-15 15:42:55,-1.0671062469482422,-0.26151221990585327,-0.15244045853614807,-0.07685931771993637
13,-0.000505,2025-10-15 15:42:55,-1.000571846961975,-0.24551887810230255,-0.1513940542936325,-0.07608722150325775
13,-0.000337,2025-10-15 15:42:55,-0.9332837462425232,-0.22875136137008667,-0.15041202306747437,-0.07416866719722748
13,-0.001007,2025-10-15 15:42:55,-0.8869367837905884,-0.20849841833114624,-0.13228604197502136,-0.06491723656654358
13,-0.000674,2025-10-15 15:42:55,-0.8033229112625122,-0.1880783885717392,-0.11661902070045471,-0.055845826864242554
13,-0.000336,2025-10-15 15:42:55,-0.7614099979400635,-0.17646010220050812,-0.10512828826904297,-0.04991598427295685
13,-0.001008,2025-10-15 15:42:55,-0.6751826405525208,-0.1599460244178772,-0.10330983996391296,-0.04764588177204132
13,-0.008521,2025-10-15 15:42:56,-0.6848640441894531,-0.15160530805587769,-0.10867755860090256,-0.04814089834690094
13,-0.004853,2025-10-15 15:42:56,-0.6166455745697021,-0.13727393746376038,-0.10730597376823425,-0.04902450367808342
13,-0.007354,2025-10-15 15:42:56,-0.568023681640625,-0.1287303864955902,-0.099856898188591,-0.045524805784225464
13,-0.000842,2025-10-15 15:42:56,-0.4687572121620178,-0.10625029355287552,-0.07178530097007751,-0.03364413604140282
13,-0.004515,2025-10-15 15:42:56,-0.35717034339904785,-0.08920136094093323,-0.06805773824453354,-0.030750811100006104
13,-0.000506,2025-10-15 15:42:56,-0.24551469087600708,-0.0643463134765625,-0.04808502271771431,-0.02354534901678562
13,-0.001006,2025-10-15 15:42:56,-0.13328427076339722,-0.04236401617527008,-0.007535567041486502,-0.007902778685092926
14,-14.511711,2025-10-15 15:42:58,-0.3743094801902771,-0.1426093876361847,-0.04676537960767746,-0.03068285807967186
14,-0.459508,2025-10-15 15:42:58,-0.6224861145019531,-0.17112749814987183,-0.09727400541305542,-0.04993656277656555
14,-0.000832,2025-10-15 15:42:58,-0.5833405256271362,-0.1607550084590912,-0.08687753975391388,-0.045115988701581955
14,-0.012915,2025-10-15 15:42:58,-0.5759233236312866,-0.14214611053466797,-0.09931746870279312,-0.04858238995075226
14,-0.016235,2025-10-15 15:42:59,-0.5974862575531006,-0.1391020566225052,-0.11875420063734055,-0.05487578734755516
14,-0.005360,2025-10-15 15:42:59,-0.5912148356437683,-0.13402068614959717,-0.09586093574762344,-0.04325249046087265
14,-0.000851,2025-10-15 15:42:59,-0.5664475560188293,-0.1256360560655594,-0.09769777208566666,-0.04365445673465729
14,-0.002313,2025-10-15 15:42:59,-0.5491878986358643,-0.12354691326618195,-0.10084459185600281,-0.04391751438379288
14,-0.001172,2025-10-15 15:42:59,-0.5023521184921265,-0.11347153782844543,-0.0905304104089737,-0.038603346794843674
14,-0.001179,2025-10-15 15:42:59,-0.4812706708908081,-0.10978275537490845,-0.07878677546977997,-0.03370874002575874
14,-0.000337,2025-10-15 15:42:59,-0.39652901887893677,-0.0968286395072937,-0.06416429579257965,-0.02939818613231182
14,-0.000829,2025-10-15 15:42:59,-0.33586809039115906,-0.08909055590629578,-0.0544801689684391,-0.025587592273950577
14,-0.023472,2025-10-15 15:42:59,-0.342671275138855,-0.09394309669733047,-0.05709628388285637,-0.026138050481677055
14,-0.003946,2025-10-15 15:43:00,-0.2959184944629669,-0.08740182965993881,-0.060255780816078186,-0.026498431339859962
14,-0.468644,2025-10-15 15:43:00,-0.33231136202812195,-0.10699701309204102,-0.07620304822921753,-0.030705638229846954
