Training Log
Start Time: 2025-10-15 13:58:06
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
Current_Step,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
0,0.000000,2025-10-15 13:58:07,0.0,0.0,0.0,0.0
327,-0.934941,2025-10-15 13:58:10,-0.008349522948265076,-0.0026348454412072897,-0.000905809341929853,-0.000513682549353689
358,-0.000404,2025-10-15 13:58:10,-0.009652781300246716,-0.0026616458781063557,-0.0012222613440826535,-0.0006463932804763317
385,-0.000287,2025-10-15 13:58:10,-0.010695179924368858,-0.0026315003633499146,-0.0015350240282714367,-0.0007658092654310167
387,-0.000003,2025-10-15 13:58:10,-0.010013040155172348,-0.0024633207358419895,-0.0015094076516106725,-0.0007519425125792623
390,-0.000005,2025-10-15 13:58:10,-0.00935590174049139,-0.0023024380207061768,-0.0015136145520955324,-0.0007380259339697659
395,-0.000008,2025-10-15 13:58:10,-0.008876604959368706,-0.0020924885757267475,-0.0013180164387449622,-0.000640329672023654
402,-0.000012,2025-10-15 13:58:10,-0.008326847106218338,-0.0018993131816387177,-0.0011939328396692872,-0.0005623415345326066
407,-0.000009,2025-10-15 13:58:10,-0.007452923804521561,-0.0017299613682553172,-0.0011734761064872146,-0.0005393521278165281
420,-0.000046,2025-10-15 13:58:10,-0.007368261925876141,-0.0016245667356997728,-0.0012084043119102716,-0.0005378418136388063
425,-0.000008,2025-10-15 13:58:10,-0.006874315440654755,-0.001529245637357235,-0.0010916870087385178,-0.000478144153021276
440,-0.000061,2025-10-15 13:58:11,-0.006364133674651384,-0.001391437603160739,-0.0010946554830297828,-0.0004908776027150452
453,-0.000048,2025-10-15 13:58:11,-0.005697349086403847,-0.0012945070629939437,-0.0009902548044919968,-0.0004457315371837467
458,-0.000008,2025-10-15 13:58:11,-0.004706189502030611,-0.001071570091880858,-0.0007118724752217531,-0.0003294863854534924
468,-0.000029,2025-10-15 13:58:11,-0.0035516005009412766,-0.0008781857322901487,-0.0006595556624233723,-0.0002962900325655937
470,-0.000003,2025-10-15 13:58:11,-0.002386803040280938,-0.0006289204466156662,-0.00045436463551595807,-0.00021970656234771013
486,-0.000076,2025-10-15 13:58:11,-0.0013709473423659801,-0.00044842695933766663,-7.91331403888762e-05,-7.830820686649531e-05
332,-0.110880,2025-10-15 13:58:12,-0.003463038709014654,-0.0013651791960000992,-0.0003969394019804895,-0.00027336753555573523
408,-0.005981,2025-10-15 13:58:13,-0.0060419803485274315,-0.0016461266204714775,-0.0008898772648535669,-0.0004723965539596975
426,-0.000090,2025-10-15 13:58:13,-0.006107596214860678,-0.0015734175685793161,-0.0009022591402754188,-0.00046639691572636366
435,-0.000023,2025-10-15 13:58:13,-0.005620987620204687,-0.001358123729005456,-0.0009311356116086245,-0.0004665753513108939
451,-0.000072,2025-10-15 13:58:13,-0.005638875532895327,-0.0013145592529326677,-0.0010558650828897953,-0.000508463941514492
464,-0.000050,2025-10-15 13:58:14,-0.005571436602622271,-0.0012577804736793041,-0.0008219056762754917,-0.0003902672906406224
479,-0.000059,2025-10-15 13:58:14,-0.005624799989163876,-0.0012457595439627767,-0.0008942456915974617,-0.00040682131657376885
481,-0.000003,2025-10-15 13:58:14,-0.005030793137848377,-0.001162162283435464,-0.000823153939563781,-0.00037559893098659813
490,-0.000023,2025-10-15 13:58:14,-0.004882576875388622,-0.0011325934901833534,-0.0007227807072922587,-0.0003299845557194203
444,-0.000052,2025-10-15 13:58:14,-0.0043460712768137455,-0.0010566507698968053,-0.0006534253479912877,-0.00031565738026984036
447,-0.000005,2025-10-15 13:58:14,-0.003978237975388765,-0.0009874699171632528,-0.0006217483896762133,-0.0002989393542520702
468,-0.000145,2025-10-15 13:58:14,-0.003781871870160103,-0.0009718584478832781,-0.0006081084138713777,-0.0002923686115536839
531,-0.002839,2025-10-15 13:58:14,-0.004568168893456459,-0.0012601292692124844,-0.000991236069239676,-0.00042955996468663216
532,-0.000002,2025-10-15 13:58:14,-0.0035332776606082916,-0.0010447469539940357,-0.0007022329373285174,-0.00031252976623363793
555,-0.000167,2025-10-15 13:58:15,-0.0031794551759958267,-0.0010431171394884586,-0.0007794338744133711,-0.000311469251755625
559,-0.002269,2025-10-15 13:58:15,-0.0030146597418934107,-0.0011486269067972898,-0.0006996566080488265,-0.0003030287043657154
433,-0.014331,2025-10-15 13:58:16,-0.0048186336643993855,-0.0015502369496971369,-0.0007818811573088169,-0.000458643538877368
364,-0.000012,2025-10-15 13:58:16,-0.00431128591299057,-0.0014183755265548825,-0.0006298274965956807,-0.00039918115362524986
437,-0.005691,2025-10-15 13:58:16,-0.006614156998693943,-0.001789807341992855,-0.001264703692868352,-0.0006671109003946185
444,-0.000012,2025-10-15 13:58:16,-0.005898818373680115,-0.0015515872510150075,-0.0010145362466573715,-0.0005524208536371589
450,-0.000010,2025-10-15 13:58:16,-0.005790363997220993,-0.001544723054394126,-0.0008127384353429079,-0.0004479867056943476
452,-0.000003,2025-10-15 13:58:16,-0.005545759107917547,-0.0014555337838828564,-0.0007452483987435699,-0.00041398886241950095
455,-0.000005,2025-10-15 13:58:17,-0.005246770568192005,-0.0013734102249145508,-0.0006900829030200839,-0.00037585035897791386
469,-0.000052,2025-10-15 13:58:17,-0.005402266047894955,-0.0014255845453590155,-0.0007483448716811836,-0.00039368728175759315
483,-0.000051,2025-10-15 13:58:17,-0.004804940894246101,-0.0012652508448809385,-0.0008265383657999337,-0.0004155583446845412
470,-0.000053,2025-10-15 13:58:17,-0.004256781190633774,-0.001189517555758357,-0.0007024062797427177,-0.00036373367765918374
471,-0.000002,2025-10-15 13:58:17,-0.003487976733595133,-0.0010036128805950284,-0.00030166786746121943,-0.00017538333486299962
546,-0.005460,2025-10-15 13:58:18,-0.0048583317548036575,-0.0013308979105204344,-0.0005478572566062212,-0.00028501133783720434
399,-0.000024,2025-10-15 13:58:18,-0.003636773210018873,-0.0012545783538371325,-0.00035734398989006877,-0.00019173012697137892
411,-0.000041,2025-10-15 13:58:18,-0.003104453207924962,-0.0011062083067372441,-0.00024578929878771305,-0.00014154532982502133
395,-0.000018,2025-10-15 13:58:18,-0.0023033376783132553,-0.0009287769207730889,-0.00022450638061854988,-0.0001328669604845345
464,-0.035222,2025-10-15 13:58:19,-0.005235676188021898,-0.0017034208867698908,-0.000545400835108012,-0.00034438390866853297
373,-0.000003,2025-10-15 13:58:19,-0.004143120255321264,-0.0015302968677133322,-0.00044545429409481585,-0.0003049102961085737
377,-0.000007,2025-10-15 13:58:19,-0.0041558584198355675,-0.0015114655252546072,-0.00044618459651246667,-0.00030055048409849405
425,-0.001659,2025-10-15 13:58:19,-0.005017710383981466,-0.0016498698387295008,-0.0006115817232057452,-0.00038357177982106805
447,-0.000146,2025-10-15 13:58:19,-0.004838604014366865,-0.0015287324786186218,-0.0007057152688503265,-0.0004173436318524182
456,-0.000024,2025-10-15 13:58:20,-0.004487498663365841,-0.0013925599632784724,-0.0004717667179647833,-0.00029195513343438506
461,-0.000009,2025-10-15 13:58:20,-0.004010681062936783,-0.0012404767330735922,-0.00039498560363426805,-0.00025117865880019963
475,-0.000051,2025-10-15 13:58:20,-0.004166219383478165,-0.0012348922900855541,-0.0004169084131717682,-0.00025829861988313496
400,-0.000100,2025-10-15 13:58:20,-0.0035209120251238346,-0.0010649578180164099,-0.0004488354898057878,-0.0002591876545920968
388,-0.000144,2025-10-15 13:58:20,-0.0034051015973091125,-0.0010581519454717636,-0.0005348839913494885,-0.00029873813036829233
446,-0.002904,2025-10-15 13:58:20,-0.003946234472095966,-0.001183082815259695,-0.0007199953543022275,-0.0003821312275249511
466,-0.000138,2025-10-15 13:58:20,-0.0038596310187131166,-0.0011436170898377895,-0.0007346011698246002,-0.0003709956363309175
470,-0.000117,2025-10-15 13:58:21,-0.0035875015892088413,-0.0011669108644127846,-0.0006529092788696289,-0.0003524760250002146
491,-0.000139,2025-10-15 13:58:21,-0.0033140622545033693,-0.0010565496049821377,-0.0005611039814539254,-0.00029172474751248956
396,-0.000002,2025-10-15 13:58:21,-0.0025979068595916033,-0.0009624154772609472,-0.0003390605270396918,-0.000210859565413557
445,-0.001798,2025-10-15 13:58:21,-0.0030620028264820576,-0.0011525738518685102,-0.00045056233648210764,-0.0002446576254442334
