Training Log
Start Time: 2025-10-10 15:38:01
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 1e-3
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 10000
Position Error Threshold: 0.15
Max Out Trajectory Steps: 5
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
145,0.840343,2025-10-10 15:38:36
146,0.845548,2025-10-10 15:38:36
147,0.850753,2025-10-10 15:38:36
148,0.855957,2025-10-10 15:38:36
148,0.856663,2025-10-10 15:38:36
148,0.855699,2025-10-10 15:38:38
148,0.855846,2025-10-10 15:38:38
148,0.857025,2025-10-10 15:38:38
145,0.840277,2025-10-10 15:38:38
148,0.855884,2025-10-10 15:38:38
146,0.845465,2025-10-10 15:38:38
147,0.850667,2025-10-10 15:38:38
148,0.855869,2025-10-10 15:38:38
145,0.840371,2025-10-10 15:38:38
147,0.850783,2025-10-10 15:38:38
148,0.855988,2025-10-10 15:38:38
148,0.856023,2025-10-10 15:38:39
148,0.855644,2025-10-10 15:38:40
148,0.856126,2025-10-10 15:38:40
148,0.856036,2025-10-10 15:38:40
148,0.855849,2025-10-10 15:38:40
147,0.850930,2025-10-10 15:38:40
148,0.856139,2025-10-10 15:38:40
148,0.856131,2025-10-10 15:38:40
148,0.856241,2025-10-10 15:38:40
148,0.856339,2025-10-10 15:38:40
148,0.855967,2025-10-10 15:38:40
148,0.856592,2025-10-10 15:38:40
148,0.856486,2025-10-10 15:38:42
146,0.845120,2025-10-10 15:38:42
148,0.855505,2025-10-10 15:38:42
148,0.856321,2025-10-10 15:38:42
144,0.835400,2025-10-10 15:38:42
145,0.840610,2025-10-10 15:38:42
146,0.845820,2025-10-10 15:38:42
148,0.856240,2025-10-10 15:38:42
148,0.856689,2025-10-10 15:38:42
148,0.855629,2025-10-10 15:38:42
140,0.813314,2025-10-10 15:38:42
148,0.856159,2025-10-10 15:38:43
148,0.856307,2025-10-10 15:38:44
148,0.855997,2025-10-10 15:38:44
147,0.852082,2025-10-10 15:38:44
148,0.857326,2025-10-10 15:38:44
147,0.851395,2025-10-10 15:38:44
148,0.856617,2025-10-10 15:38:44
148,0.856019,2025-10-10 15:38:44
148,0.855806,2025-10-10 15:38:44
148,0.855886,2025-10-10 15:38:44
148,0.856269,2025-10-10 15:38:44
148,0.855921,2025-10-10 15:38:45
142,0.824941,2025-10-10 15:38:46
148,0.856360,2025-10-10 15:38:46
148,0.855688,2025-10-10 15:38:46
148,0.856048,2025-10-10 15:38:46
147,0.850313,2025-10-10 15:38:46
148,0.857637,2025-10-10 15:38:46
148,0.856068,2025-10-10 15:38:46
148,0.856174,2025-10-10 15:38:46
148,0.856031,2025-10-10 15:38:47
148,0.856421,2025-10-10 15:38:47
148,0.856530,2025-10-10 15:38:47
146,0.845396,2025-10-10 15:38:48
148,0.855792,2025-10-10 15:38:48
143,0.829719,2025-10-10 15:38:48
144,0.834919,2025-10-10 15:38:48
146,0.845318,2025-10-10 15:38:48
148,0.855716,2025-10-10 15:38:48
146,0.845168,2025-10-10 15:38:48
147,0.850365,2025-10-10 15:38:48
148,0.855562,2025-10-10 15:38:48
148,0.856642,2025-10-10 15:38:48
148,0.855921,2025-10-10 15:38:48
148,0.855957,2025-10-10 15:38:48
140,0.813002,2025-10-10 15:38:49
