Training Log
Start Time: 2025-10-07 18:03:47
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
0,0.000000,2025-10-07 18:03:47
184,8.595491,2025-10-07 18:03:50
160,7.453611,2025-10-07 18:03:53
160,7.455209,2025-10-07 18:03:55
160,7.467802,2025-10-07 18:03:57
166,7.721910,2025-10-07 18:04:00
167,7.759201,2025-10-07 18:04:00
168,7.795292,2025-10-07 18:04:00
163,7.594970,2025-10-07 18:04:02
166,7.706242,2025-10-07 18:04:02
166,7.711038,2025-10-07 18:04:02
167,7.748132,2025-10-07 18:04:02
168,7.784012,2025-10-07 18:04:02
168,7.785318,2025-10-07 18:04:02
165,7.667606,2025-10-07 18:04:04
165,7.676048,2025-10-07 18:04:04
166,7.713226,2025-10-07 18:04:04
167,7.750347,2025-10-07 18:04:04
168,7.786235,2025-10-07 18:04:04
168,7.786741,2025-10-07 18:04:04
167,7.747888,2025-10-07 18:04:04
168,7.792462,2025-10-07 18:04:04
160,7.462796,2025-10-07 18:04:06
160,7.464886,2025-10-07 18:04:06
160,7.468448,2025-10-07 18:04:06
160,7.467554,2025-10-07 18:04:06
160,7.466992,2025-10-07 18:04:06
160,7.468200,2025-10-07 18:04:06
160,7.465118,2025-10-07 18:04:06
160,7.463837,2025-10-07 18:04:07
160,7.465698,2025-10-07 18:04:09
160,7.464301,2025-10-07 18:04:09
160,7.464723,2025-10-07 18:04:09
160,7.462347,2025-10-07 18:04:09
160,7.465791,2025-10-07 18:04:09
160,7.465581,2025-10-07 18:04:09
160,7.463409,2025-10-07 18:04:09
160,7.464024,2025-10-07 18:04:09
160,7.469923,2025-10-07 18:04:11
161,7.510659,2025-10-07 18:04:11
161,7.509394,2025-10-07 18:04:11
160,7.473608,2025-10-07 18:04:11
161,7.510641,2025-10-07 18:04:11
161,7.511772,2025-10-07 18:04:11
162,7.548785,2025-10-07 18:04:11
160,7.471955,2025-10-07 18:04:11
168,7.782316,2025-10-07 18:04:13
167,7.748444,2025-10-07 18:04:13
168,7.784261,2025-10-07 18:04:13
168,7.782184,2025-10-07 18:04:13
167,7.748850,2025-10-07 18:04:13
168,7.784642,2025-10-07 18:04:13
168,7.783563,2025-10-07 18:04:13
168,7.782554,2025-10-07 18:04:13
168,7.782793,2025-10-07 18:04:13
166,7.706550,2025-10-07 18:04:15
166,7.708009,2025-10-07 18:04:15
166,7.707465,2025-10-07 18:04:15
168,7.785728,2025-10-07 18:04:15
168,7.783739,2025-10-07 18:04:16
167,7.745039,2025-10-07 18:04:16
168,7.782690,2025-10-07 18:04:16
163,7.588720,2025-10-07 18:04:18
161,7.511621,2025-10-07 18:04:18
162,7.553121,2025-10-07 18:04:18
163,7.590156,2025-10-07 18:04:18
162,7.552682,2025-10-07 18:04:18
163,7.589704,2025-10-07 18:04:18
163,7.591689,2025-10-07 18:04:18
164,7.628686,2025-10-07 18:04:18
164,7.628533,2025-10-07 18:04:18
163,7.590088,2025-10-07 18:04:18
161,7.510060,2025-10-07 18:04:20
162,7.549613,2025-10-07 18:04:20
162,7.548907,2025-10-07 18:04:20
161,7.513690,2025-10-07 18:04:20
162,7.550744,2025-10-07 18:04:20
163,7.587746,2025-10-07 18:04:20
163,7.588132,2025-10-07 18:04:20
162,7.552176,2025-10-07 18:04:20
163,7.589185,2025-10-07 18:04:20
160,7.468607,2025-10-07 18:04:22
160,7.469128,2025-10-07 18:04:22
160,7.469958,2025-10-07 18:04:22
160,7.467029,2025-10-07 18:04:22
160,7.469718,2025-10-07 18:04:22
160,7.471462,2025-10-07 18:04:22
160,7.466954,2025-10-07 18:04:22
160,7.467291,2025-10-07 18:04:23
160,7.469268,2025-10-07 18:04:23
160,7.462510,2025-10-07 18:04:24
160,7.466382,2025-10-07 18:04:24
160,7.462631,2025-10-07 18:04:24
160,7.463670,2025-10-07 18:04:25
160,7.461833,2025-10-07 18:04:25
160,7.464472,2025-10-07 18:04:25
160,7.462310,2025-10-07 18:04:25
160,7.460062,2025-10-07 18:04:25
160,7.462066,2025-10-07 18:04:25
160,7.434739,2025-10-07 18:04:27
160,7.432624,2025-10-07 18:04:27
159,7.392869,2025-10-07 18:04:27
160,7.433794,2025-10-07 18:04:27
160,7.431622,2025-10-07 18:04:27
160,7.436509,2025-10-07 18:04:27
159,7.391572,2025-10-07 18:04:27
159,7.393832,2025-10-07 18:04:27
155,7.231393,2025-10-07 18:04:29
157,7.313777,2025-10-07 18:04:29
158,7.350751,2025-10-07 18:04:29
157,7.324018,2025-10-07 18:04:29
158,7.361246,2025-10-07 18:04:29
159,7.398384,2025-10-07 18:04:29
160,7.434356,2025-10-07 18:04:29
158,7.352288,2025-10-07 18:04:29
158,7.352345,2025-10-07 18:04:29
160,7.436327,2025-10-07 18:04:31
160,7.437534,2025-10-07 18:04:31
160,7.446272,2025-10-07 18:04:31
160,7.437791,2025-10-07 18:04:31
160,7.447871,2025-10-07 18:04:31
160,7.449764,2025-10-07 18:04:31
160,7.441003,2025-10-07 18:04:31
160,7.447006,2025-10-07 18:04:32
160,7.448079,2025-10-07 18:04:32
160,7.453436,2025-10-07 18:04:33
160,7.449594,2025-10-07 18:04:33
160,7.461483,2025-10-07 18:04:33
160,7.455047,2025-10-07 18:04:34
160,7.459731,2025-10-07 18:04:34
160,7.457510,2025-10-07 18:04:34
160,7.461938,2025-10-07 18:04:34
160,7.456689,2025-10-07 18:04:34
160,7.455830,2025-10-07 18:04:34
160,7.446174,2025-10-07 18:04:36
160,7.445632,2025-10-07 18:04:36
160,7.451707,2025-10-07 18:04:36
160,7.449330,2025-10-07 18:04:36
160,7.454183,2025-10-07 18:04:36
160,7.456707,2025-10-07 18:04:36
160,7.455638,2025-10-07 18:04:36
160,7.452471,2025-10-07 18:04:36
160,7.448035,2025-10-07 18:04:36
160,7.453309,2025-10-07 18:04:38
160,7.441115,2025-10-07 18:04:38
160,7.448930,2025-10-07 18:04:38
160,7.447437,2025-10-07 18:04:38
160,7.451450,2025-10-07 18:04:38
160,7.450521,2025-10-07 18:04:38
160,7.452427,2025-10-07 18:04:38
160,7.449662,2025-10-07 18:04:38
160,7.449769,2025-10-07 18:04:38
160,7.449950,2025-10-07 18:04:40
160,7.446473,2025-10-07 18:04:40
160,7.445172,2025-10-07 18:04:40
160,7.443084,2025-10-07 18:04:40
160,7.456095,2025-10-07 18:04:40
160,7.447261,2025-10-07 18:04:40
