Training Log
Start Time: 2025-12-29 19:53:11
Num Actors: 4096
Horizon Length: 128
Minibatch Size: 1024
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 100000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
max_progress,env1_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp,drone_payload,drone_drone,Action_Smoothness,Trajectory_Progress_Reward
0,0.000000,2025-12-29 19:53:11,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000
10,-9.440191,2025-12-29 19:53:12,8.901336514099967e-06,1.9999868869781494,0.6000000238418579,0.20000000298023224,-0.000000,-0.001071,-0.157478,-0.000000
10,5.509224,2025-12-29 19:53:12,8.901336514099967e-06,1.9999734163284302,0.6000000238418579,0.20000000298023224,-0.000000,-0.001071,-0.208282,-0.000000
11,15.975565,2025-12-29 19:53:12,8.901336514099967e-06,1.9998136758804321,0.6000000238418579,0.19999925792217255,-0.000000,-0.001077,-0.138000,-0.000000
11,29.385672,2025-12-29 19:53:12,8.901344699552283e-06,1.9997656345367432,0.6000000238418579,0.1999991238117218,-0.000000,-0.001078,-0.234975,-0.000000
11,32.649422,2025-12-29 19:53:12,8.901344699552283e-06,1.999707579612732,0.6000000238418579,0.19999893009662628,-0.000000,-0.001079,-0.247937,-0.000000
12,41.156990,2025-12-29 19:53:12,8.901378350856248e-06,1.9991939067840576,0.6000000238418579,0.19999735057353973,-0.000000,-0.001092,-0.199620,-0.000000
12,53.230579,2025-12-29 19:53:12,8.901386536308564e-06,1.9990862607955933,0.6000000238418579,0.1999969482421875,-0.000000,-0.001094,-0.175231,-0.000000
12,56.987865,2025-12-29 19:53:12,8.901395631255582e-06,1.9989722967147827,0.6000000238418579,0.1999964863061905,-0.000000,-0.001097,-0.183272,-0.000000
12,63.707771,2025-12-29 19:53:12,8.901489309209865e-06,1.9981626272201538,0.6000000238418579,0.19999288022518158,-0.000000,-0.001116,-0.212356,-0.000000
12,76.103188,2025-12-29 19:53:12,8.901514775061514e-06,1.998008370399475,0.6000000238418579,0.19999215006828308,-0.000000,-0.001120,-0.164161,-0.000000
12,79.529648,2025-12-29 19:53:12,8.901539331418462e-06,1.9978480339050293,0.6000000238418579,0.1999913901090622,-0.000000,-0.001124,-0.198986,-0.000000
12,84.336716,2025-12-29 19:53:12,8.901693036023062e-06,1.9967949390411377,0.6000000238418579,0.1999867707490921,-0.000000,-0.001151,-0.222999,-0.000000
12,96.721947,2025-12-29 19:53:12,8.901735782274045e-06,1.996604084968567,0.6000000238418579,0.19998601078987122,-0.000000,-0.001156,-0.244659,-0.000000
12,105.985649,2025-12-29 19:53:12,8.90198953129584e-06,1.9951353073120117,0.6000000238418579,0.19998034834861755,-0.000000,-0.001189,-0.205692,-0.000000
12,115.938065,2025-12-29 19:53:12,8.902049557946157e-06,1.9949076175689697,0.6000000238418579,0.19997940957546234,-0.000000,-0.001195,-0.193296,-0.000000
12,119.392349,2025-12-29 19:53:12,8.902091394702438e-06,1.994677186012268,0.6000000238418579,0.19997842609882355,-0.000000,-0.001200,-0.160609,-0.000000
12,122.511406,2025-12-29 19:53:12,8.90240517037455e-06,1.9933257102966309,0.6000000238418579,0.19997143745422363,-0.000000,-0.001236,-0.163205,-0.000000
12,132.450043,2025-12-29 19:53:12,8.902457011572551e-06,1.9931080341339111,0.6000000238418579,0.1999700665473938,-0.000000,-0.001243,-0.125997,-0.000000
12,135.908875,2025-12-29 19:53:12,8.902516128728166e-06,1.9928916692733765,0.6000000238418579,0.19996866583824158,-0.000000,-0.001249,-0.189598,-0.000000
12,138.641205,2025-12-29 19:53:12,8.9025843408308e-06,1.9926773309707642,0.6000000238418579,0.1999671906232834,-0.000000,-0.001255,-0.195471,-0.000000
12,138.868011,2025-12-29 19:53:12,8.902889021555893e-06,1.9916369915008545,0.6000000238418579,0.19995920360088348,-0.000000,-0.001287,-0.166025,-0.000000
