Training Log
Start Time: 2025-10-07 21:38:10
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
0,0.000000,2025-10-07 21:38:10
176,8.228395,2025-10-07 21:38:12
168,7.854770,2025-10-07 21:38:15
170,7.929907,2025-10-07 21:38:15
171,7.967464,2025-10-07 21:38:15
173,8.042559,2025-10-07 21:38:15
176,8.153761,2025-10-07 21:38:15
168,7.858290,2025-10-07 21:38:17
176,8.157958,2025-10-07 21:38:17
175,8.110589,2025-10-07 21:38:17
176,8.146510,2025-10-07 21:38:17
176,8.151465,2025-10-07 21:38:17
176,8.148148,2025-10-07 21:38:17
175,8.112116,2025-10-07 21:38:17
176,8.148066,2025-10-07 21:38:17
168,7.826947,2025-10-07 21:38:19
168,7.849455,2025-10-07 21:38:19
169,7.886747,2025-10-07 21:38:19
170,7.924024,2025-10-07 21:38:19
172,7.998529,2025-10-07 21:38:19
173,8.035757,2025-10-07 21:38:19
176,8.145956,2025-10-07 21:38:19
176,8.155024,2025-10-07 21:38:19
176,8.139385,2025-10-07 21:38:19
176,8.138158,2025-10-07 21:38:19
175,8.102979,2025-10-07 21:38:19
176,8.138680,2025-10-07 21:38:19
176,8.157541,2025-10-07 21:38:19
175,8.096206,2025-10-07 21:38:21
168,7.844090,2025-10-07 21:38:21
173,8.029645,2025-10-07 21:38:21
174,8.066696,2025-10-07 21:38:21
175,8.103727,2025-10-07 21:38:21
176,8.147882,2025-10-07 21:38:21
176,8.162079,2025-10-07 21:38:21
174,8.072576,2025-10-07 21:38:21
176,8.145705,2025-10-07 21:38:21
174,8.076926,2025-10-07 21:38:21
176,8.150315,2025-10-07 21:38:21
176,8.138339,2025-10-07 21:38:22
176,8.151126,2025-10-07 21:38:22
168,7.833868,2025-10-07 21:38:23
173,8.030678,2025-10-07 21:38:24
176,8.140707,2025-10-07 21:38:24
171,7.975427,2025-10-07 21:38:24
172,8.013095,2025-10-07 21:38:24
176,8.162306,2025-10-07 21:38:24
174,8.067286,2025-10-07 21:38:24
176,8.139999,2025-10-07 21:38:24
173,8.029376,2025-10-07 21:38:24
176,8.139246,2025-10-07 21:38:24
176,8.141730,2025-10-07 21:38:24
176,8.141987,2025-10-07 21:38:24
176,8.143235,2025-10-07 21:38:24
168,7.825875,2025-10-07 21:38:26
168,7.803207,2025-10-07 21:38:26
170,7.926139,2025-10-07 21:38:26
173,8.038396,2025-10-07 21:38:26
174,8.075797,2025-10-07 21:38:26
176,8.149176,2025-10-07 21:38:26
173,8.035422,2025-10-07 21:38:26
176,8.146014,2025-10-07 21:38:26
176,8.154248,2025-10-07 21:38:26
176,8.149915,2025-10-07 21:38:26
176,8.152334,2025-10-07 21:38:26
176,8.172804,2025-10-07 21:38:26
176,8.146296,2025-10-07 21:38:27
174,8.065419,2025-10-07 21:38:28
176,8.138208,2025-10-07 21:38:28
171,7.976056,2025-10-07 21:38:28
176,8.162827,2025-10-07 21:38:28
173,8.037909,2025-10-07 21:38:28
176,8.148335,2025-10-07 21:38:28
176,8.136726,2025-10-07 21:38:28
172,8.011189,2025-10-07 21:38:28
176,8.160366,2025-10-07 21:38:28
170,7.910670,2025-10-07 21:38:28
171,7.947737,2025-10-07 21:38:28
173,8.021821,2025-10-07 21:38:28
176,8.161438,2025-10-07 21:38:29
173,8.023174,2025-10-07 21:38:29
168,7.825091,2025-10-07 21:38:30
168,7.835811,2025-10-07 21:38:30
173,8.045945,2025-10-07 21:38:31
174,8.083513,2025-10-07 21:38:31
176,8.157238,2025-10-07 21:38:31
169,7.882942,2025-10-07 21:38:31
170,7.920205,2025-10-07 21:38:31
176,8.142100,2025-10-07 21:38:31
176,8.141706,2025-10-07 21:38:31
175,8.100754,2025-10-07 21:38:31
176,8.134218,2025-10-07 21:38:31
175,8.120289,2025-10-07 21:38:31
176,8.156424,2025-10-07 21:38:31
176,8.143698,2025-10-07 21:38:31
176,8.142135,2025-10-07 21:38:31
176,8.143551,2025-10-07 21:38:31
173,8.035666,2025-10-07 21:38:33
176,8.146100,2025-10-07 21:38:33
176,8.168497,2025-10-07 21:38:33
176,8.155181,2025-10-07 21:38:33
176,8.159229,2025-10-07 21:38:33
176,8.157147,2025-10-07 21:38:33
176,8.150605,2025-10-07 21:38:33
176,8.152331,2025-10-07 21:38:33
175,8.105103,2025-10-07 21:38:33
176,8.140859,2025-10-07 21:38:33
176,8.166374,2025-10-07 21:38:33
176,8.168049,2025-10-07 21:38:33
176,8.146272,2025-10-07 21:38:33
176,8.150694,2025-10-07 21:38:33
176,8.174196,2025-10-07 21:38:33
176,8.178843,2025-10-07 21:38:35
176,8.165428,2025-10-07 21:38:35
176,8.154670,2025-10-07 21:38:35
176,8.148443,2025-10-07 21:38:35
176,8.146396,2025-10-07 21:38:35
176,8.169954,2025-10-07 21:38:35
176,8.163620,2025-10-07 21:38:35
172,7.983751,2025-10-07 21:38:35
176,8.139850,2025-10-07 21:38:35
176,8.147049,2025-10-07 21:38:35
176,8.169114,2025-10-07 21:38:35
176,8.151577,2025-10-07 21:38:36
176,8.144253,2025-10-07 21:38:36
176,8.147867,2025-10-07 21:38:36
176,8.139202,2025-10-07 21:38:37
176,8.159869,2025-10-07 21:38:37
176,8.178583,2025-10-07 21:38:37
176,8.153446,2025-10-07 21:38:37
176,8.145456,2025-10-07 21:38:37
175,8.148793,2025-10-07 21:38:37
176,8.185550,2025-10-07 21:38:37
176,8.152565,2025-10-07 21:38:37
176,8.165574,2025-10-07 21:38:38
176,8.146185,2025-10-07 21:38:38
176,8.165636,2025-10-07 21:38:38
176,8.180003,2025-10-07 21:38:38
171,7.967165,2025-10-07 21:38:38
176,8.152623,2025-10-07 21:38:38
176,8.150344,2025-10-07 21:38:39
176,8.176802,2025-10-07 21:38:39
172,7.999444,2025-10-07 21:38:40
176,8.147098,2025-10-07 21:38:40
175,8.101066,2025-10-07 21:38:40
176,8.160060,2025-10-07 21:38:40
176,8.172032,2025-10-07 21:38:40
176,8.168809,2025-10-07 21:38:40
176,8.183403,2025-10-07 21:38:40
176,8.151935,2025-10-07 21:38:40
176,8.164838,2025-10-07 21:38:40
176,8.163861,2025-10-07 21:38:40
176,8.150919,2025-10-07 21:38:40
176,8.157394,2025-10-07 21:38:40
176,8.152390,2025-10-07 21:38:42
176,8.151242,2025-10-07 21:38:42
176,8.159987,2025-10-07 21:38:42
176,8.150993,2025-10-07 21:38:42
176,8.149936,2025-10-07 21:38:42
176,8.145836,2025-10-07 21:38:42
176,8.151464,2025-10-07 21:38:42
176,8.172832,2025-10-07 21:38:42
176,8.138764,2025-10-07 21:38:42
176,8.168626,2025-10-07 21:38:42
176,8.163790,2025-10-07 21:38:42
176,8.187900,2025-10-07 21:38:43
176,8.165085,2025-10-07 21:38:43
176,8.154142,2025-10-07 21:38:43
176,8.165800,2025-10-07 21:38:44
176,8.164646,2025-10-07 21:38:44
176,8.157326,2025-10-07 21:38:44
176,8.149923,2025-10-07 21:38:44
176,8.196590,2025-10-07 21:38:44
176,8.157749,2025-10-07 21:38:44
176,8.175331,2025-10-07 21:38:44
176,8.176556,2025-10-07 21:38:44
176,8.163241,2025-10-07 21:38:45
176,8.156316,2025-10-07 21:38:45
176,8.177758,2025-10-07 21:38:45
176,8.153453,2025-10-07 21:38:45
176,8.167883,2025-10-07 21:38:45
176,8.159736,2025-10-07 21:38:45
176,8.159588,2025-10-07 21:38:46
176,8.164982,2025-10-07 21:38:46
176,8.142163,2025-10-07 21:38:46
176,8.172066,2025-10-07 21:38:46
176,8.147973,2025-10-07 21:38:46
176,8.139825,2025-10-07 21:38:47
176,8.170184,2025-10-07 21:38:47
176,8.163242,2025-10-07 21:38:47
176,8.150531,2025-10-07 21:38:47
176,8.157840,2025-10-07 21:38:47
176,8.158982,2025-10-07 21:38:47
176,8.143345,2025-10-07 21:38:47
175,8.124133,2025-10-07 21:38:47
176,8.160294,2025-10-07 21:38:47
176,8.165112,2025-10-07 21:38:49
176,8.167641,2025-10-07 21:38:49
176,8.155600,2025-10-07 21:38:49
176,8.153395,2025-10-07 21:38:49
176,8.158046,2025-10-07 21:38:49
176,8.153297,2025-10-07 21:38:49
176,8.155719,2025-10-07 21:38:49
